(1, 0),0,9
(1, 3),0,9
(2, 1),0,9
(2, 4),0,9
(3, 1),0,9
(4, 2),0,9
(4, 3),0,9
(4, 5),0,9
(5, 0),0,9
(1, 0),1,9
(1, 3),1,9
(2, 1),1,9
(2, 4),1,9
(3, 1),1,9
(4, 2),1,9
(4, 3),1,9
(4, 5),1,9
(5, 0),1,9
(1, 0),2,9
(1, 3),2,9
(2, 1),2,9
(2, 4),2,9
(3, 1),2,9
(4, 2),2,9
(4, 3),2,9
(4, 5),2,9
(5, 0),2,9
(1, 0),3,9
(1, 3),3,9
(2, 1),3,9
(2, 4),3,9
(3, 1),3,9
(4, 2),3,9
(4, 3),3,9
(4, 5),3,9
(5, 0),3,9
(1, 0),4,9
(1, 3),4,9
(2, 1),4,9
(2, 4),4,9
(3, 1),4,9
(4, 2),4,9
(4, 3),4,9
(4, 5),4,9
(5, 0),4,9
(1, 0),5,9
(1, 3),5,9
(2, 1),5,9
(2, 4),5,9
(3, 1),5,9
(4, 2),5,9
(4, 3),5,9
(4, 5),5,9
(5, 0),5,9
(1, 0),6,9
(1, 3),6,9
(2, 1),6,9
(2, 4),6,9
(3, 1),6,9
(4, 2),6,9
(4, 3),6,9
(4, 5),6,9
(5, 0),6,9
(1, 0),7,9
(1, 3),7,9
(2, 1),7,9
(2, 4),7,9
(3, 1),7,9
(4, 2),7,9
(4, 3),7,9
(4, 5),7,9
(5, 0),7,9
(1, 0),8,9
(1, 3),8,9
(2, 1),8,9
(2, 4),8,9
(3, 1),8,9
(4, 2),8,9
(4, 3),8,9
(4, 5),8,9
(5, 0),8,9
(1, 0),9,9
(1, 3),9,9
(2, 1),9,9
(2, 4),9,9
(3, 1),9,9
(4, 2),9,9
(4, 3),9,9
(4, 5),9,9
(5, 0),9,9
(1, 0),10,9
(1, 3),10,9
(2, 1),10,9
(2, 4),10,9
(3, 1),10,9
(4, 2),10,9
(4, 3),10,9
(4, 5),10,9
(5, 0),10,9
(1, 0),11,9
(1, 3),11,9
(2, 1),11,9
(2, 4),11,9
(3, 1),11,9
(4, 2),11,9
(4, 3),11,9
(4, 5),11,9
(5, 0),11,9
(1, 0),12,9
(1, 3),12,9
(2, 1),12,9
(2, 4),12,9
(3, 1),12,9
(4, 2),12,9
(4, 3),12,9
(4, 5),12,9
(5, 0),12,9
(1, 0),13,9
(1, 3),13,9
(2, 1),13,9
(2, 4),13,9
(3, 1),13,9
(4, 2),13,9
(4, 3),13,9
(4, 5),13,9
(5, 0),13,9
(1, 0),14,9
(1, 3),14,9
(2, 1),14,9
(2, 4),14,9
(3, 1),14,9
(4, 2),14,9
(4, 3),14,9
(4, 5),14,9
(5, 0),14,9
(1, 0),15,9
(1, 3),15,9
(2, 1),15,9
(2, 4),15,9
(3, 1),15,9
(4, 2),15,9
(4, 3),15,9
(4, 5),15,9
(5, 0),15,9
(1, 0),16,9
(1, 3),16,9
(2, 1),16,9
(2, 4),16,9
(3, 1),16,9
(4, 2),16,9
(4, 3),16,9
(4, 5),16,9
(5, 0),16,9
(1, 0),17,9
(1, 3),17,9
(2, 1),17,9
(2, 4),17,9
(3, 1),17,9
(4, 2),17,9
(4, 3),17,9
(4, 5),17,9
(5, 0),17,9
(1, 0),18,9
(1, 3),18,9
(2, 1),18,9
(2, 4),18,9
(3, 1),18,9
(4, 2),18,9
(4, 3),18,9
(4, 5),18,9
(5, 0),18,9
(1, 0),19,9
(1, 3),19,9
(2, 1),19,9
(2, 4),19,9
(3, 1),19,9
(4, 2),19,9
(4, 3),19,9
(4, 5),19,9
(5, 0),19,9
(1, 0),20,9
(1, 3),20,9
(2, 1),20,9
(2, 4),20,9
(3, 1),20,9
(4, 2),20,9
(4, 3),20,9
(4, 5),20,9
(5, 0),20,9
(1, 0),21,9
(1, 3),21,9
(2, 1),21,9
(2, 4),21,9
(3, 1),21,9
(4, 2),21,9
(4, 3),21,9
(4, 5),21,9
(5, 0),21,9
(1, 0),22,9
(1, 3),22,9
(2, 1),22,9
